"STATISTIC","STATISTIC Label","TLIST(M1)","Month","DIRECT","Direction","TYPASS","Type of Passenger Movement","UNIT","VALUE"
"TRBM1","Passenger Movement","196110","1961M10","01","Arriving in Eire","043","Passenger Movement by Air from Shannon Airport","Number","4344"
"TRBM1","Passenger Movement","196110","1961M10","01","Arriving in Eire","0431","Passenger Movement by Air from Shannon Airport (Eastbound)","Number","2841"
"TRBM1","Passenger Movement","196110","1961M10","01","Arriving in Eire","0432","Passenger Movement by Air from Shannon Airport (Westbound)","Number","1503"
"TRBM1","Passenger Movement","196110","1961M10","02","Departing Eire","01","Passenger Movement by Sea to All Countries","Number","37019"
"TRBM1","Passenger Movement","196110","1961M10","02","Departing Eire","011","Passenger Movement by Sea to Great Britain","Number","36251"
"TRBM1","Passenger Movement","196110","1961M10","02","Departing Eire","012","Passenger Movement by Sea to Countries Other Than Great Britain","Number","768"
"TRBM1","Passenger Movement","196110","1961M10","02","Departing Eire","02","Passenger Movement Cross-Border Rail","Number","13826"
"TRBM1","Passenger Movement","196110","1961M10","02","Departing Eire","03","Passenger Movement Cross-Border Bus","Number","44790"
"TRBM1","Passenger Movement","196110","1961M10","02","Departing Eire","04","Passenger Movement by Air from All Airports","Number","38528"
"TRBM1","Passenger Movement","196110","1961M10","02","Departing Eire","041","Passenger Movement by Air from Dublin Airport","Number","31041"
"TRBM1","Passenger Movement","196110","1961M10","02","Departing Eire","042","Passenger Movement by Air from Cork Airport","Number","842"
"TRBM1","Passenger Movement","196110","1961M10","02","Departing Eire","043","Passenger Movement by Air from Shannon Airport","Number","6645"
"TRBM1","Passenger Movement","196110","1961M10","02","Departing Eire","0431","Passenger Movement by Air from Shannon Airport (Eastbound)","Number","1371"
"TRBM1","Passenger Movement","196110","1961M10","02","Departing Eire","0432","Passenger Movement by Air from Shannon Airport (Westbound)","Number","5274"
"TRBM1","Passenger Movement","196111","1961M11","01","Arriving in Eire","01","Passenger Movement by Sea to All Countries","Number","17515"
"TRBM1","Passenger Movement","196111","1961M11","01","Arriving in Eire","011","Passenger Movement by Sea to Great Britain","Number","17327"
